Index,Company,Symbol,Weight,Price,Change,Percent Change
432,Nordson Corporation,NDSN,0.02%,272.25,0.31,(0.11%)
433,Viatris,VTRS,0.02%,13.14,0.17,(1.35%)
434,Ball Corporation,BALL,0.02%,56.36,0.10,(0.18%)
435,Fox Corporation (Class A),FOXA,0.02%,71.80,0.66,(0.93%)
436,IDEX Corporation,IEX,0.02%,197.72,1.32,(0.67%)
437,Gen Digital,GEN,0.02%,23.91,-0.88,(-3.53%)
438,Erie Indemnity,ERIE,0.02%,281.48,7.95,(2.91%)
439,CF Industries,CF,0.02%,94.07,0.90,(0.97%)
440,Deckers Brands,DECK,0.02%,98.66,1.04,(1.07%)
441,Avery Dennison,AVY,0.02%,185.18,0.31,(0.16%)
442,Akamai Technologies,AKAM,0.02%,98.93,-3.17,(-3.11%)
443,Allegion,ALLE,0.02%,163.81,-1.09,(-0.66%)
444,Kimco Realty,KIM,0.02%,20.70,0.22,(1.10%)
445,Everest Group,EG,0.02%,328.55,3.64,(1.12%)
446,Domino's,DPZ,0.02%,406.64,1.27,(0.31%)
447,Best Buy,BBY,0.02%,65.21,-0.35,(-0.54%)
448,Masco,MAS,0.02%,65.71,-0.77,(-1.16%)
449,Hormel Foods,HRL,0.02%,24.59,-0.01,(-0.02%)
450,Franklin Resources,BEN,0.02%,25.73,0.07,(0.25%)
451,Clorox,CLX,0.02%,109.72,0.92,(0.85%)
452,GoDaddy,GDDY,0.02%,98.73,-4.62,(-4.47%)
453,Solventum,SOLV,0.02%,76.10,-0.50,(-0.65%)
454,Regency Centers,REG,0.02%,71.68,1.23,(1.74%)
455,Jack Henry & Associates,JKHY,0.02%,178.19,-1.62,(-0.90%)
456,Host Hotels & Resorts,HST,0.02%,18.70,0.25,(1.38%)
457,Hasbro,HAS,0.02%,90.22,0.35,(0.38%)
458,Builders FirstSource,BLDR,0.02%,113.94,-3.15,(-2.69%)
459,Universal Health Services,UHS,0.02%,200.31,-2.71,(-1.33%)
460,Brown–Forman,BF.B,0.02%,26.84,0.53,(2.03%)
461,Revvity,RVTY,0.02%,108.69,-2.44,(-2.19%)
462,Invesco,IVZ,0.02%,27.64,0.08,(0.29%)
463,Paramount Skydance Corp,PSKY,0.02%,11.11,-0.23,(-2.07%)
